1,1322
18,18
3,14
1,85
6,6
3,236
1,810
4,4
20,20
18,18
21,21
23,23
26,26
3301,3398
27,31
5,1058
3,7
1,1
17,17
1,3
1,4018
1,3
1,4005
1,4018
5,17
3,2
1,4081
3,875
3,3
5,5
17,17
15,15
5,5
1,2368
1,5
1,904
1,589
18,1322
1,4093
1,2372
3,1
3,18
3,21
5,43
3,17
4,4
1,4005
3,1924
17,17
1,17
43,43
1,4057
1,4027
3,1
1,4
1,82
1,4005
20,20
1,1
1,4005
17,17
3,27
3,17
3,875
3,20
1,916
2,4
3,4093
3,1924
82,94
3,1322
1,2
3,8
3,18
1,4087
3,21
3,18
3,6
5,4
18,1322
1,1
3,1
3,724
4084,4083
3,1
3,628
3,2
20,1322
3,1322
1,5
1,4
1,1005
3,4
3,17
4,4
1,1322
3,8
1,4018
3,6
3,1322
6,6
3,3
26,26
1,1
1,2583
1,27
1,17
23,23
1,4
18,18
3,21
3,1322
17,23
1,482
4083,4085
1,4045
3,1342
1,27
3516,2594
8,8
1,4093
5,1531
3,3
3,17
3,4016
17,17
1,1
17,5
3,916
4,4
21,21
17,17
3,6
3,3
3,628
17,17
3,4005
1,550
1,6
20,20
3,2
3,17
4084,4088
17,916
1,875
3,17
1,43
1,9
1,4018
1,1322
20,20
1176,724
18,18
3301,3398
2388,3692
6,6
27,55
5,916
3,18
17,17
1,1322
20,27
1,1322
3,1
3,1801
85,85
3,20
3,5
3,5
4084,4088
7,7
3,3
3,17
1,589
3,20
1,4084
3,1666
1,2
2,1005
3,17
646,589
1,3
3,3
21,21
4087,4083
26,7
1,1058
18,18
3,5
3,3
3,3
3,916
3,3
3,916
3,1322
1,4005
1,2135
17,17
3,3
1,3
3,4005
26,26
4083,4080
3,17
3,916
82,66
18,589
4090,4084
6,6
14,14
1176,724
1,4018
3,18
24,24
1,4015
1,4080
3,2
3,1
1,3
26,26
1,1
1,589
17,17
3,20
1,352
1,29
1,916
4084,2
3516,2594
1,5
2,2
20,20
20,20
20,20
3,3
2,5
5,916
3,4005
1,2135
4084,4083
1,2000
3,17
3,1
3,605
3,605
5,23
1,27
3,33
3,1531
1,3
3,4080
26,26
5,17
11,12
4083,4080
17,875
4084,4088
3,1
82,2
82,2
3,1363
1,3
1,3
1,4090
5,17
1176,724
3,7
18,916
5,1924
18,24
3,5
1,1
1,1322
1,1322
1,3597
17,17
21,5
17,17
5,875
1,26
3,17
1,27
6,6
5,2914
5,1322
1,4045
43,55
3,20
1,4018
3,5
3,8
3,5
1,4
3,1924
1,1342
3,17
1,43
26,26
2,2
1,1058
3,2000
6,6
2,4
1,4088
1,4084
1,3014
1,2
20,20
20,20
5,875
20,20
3,1
1,1322
18,18
1,3
3,17
3,17
3,20
3,21
1,4005
1176,724
3,1
1,2
3,17
3,17
1,1
4090,4084
1,2
1,21
1,1
1,3
3,4005
3,1322
3,5
3,4005
3,1322
1,2
5,11
4080,4090
21,2
17,17
1,4087
1,1322
3,916
1,1005
3,18
15,15
3,1
1,1
1,26
5,5
3,3
3,18
1,4089
3,18
3,2
1,4089
1,1322
1,31
3,6
3,4088
3,17
1176,4080
26,26
3,20
2,5
4058,4027
21,21
3,20
3,1342
3,1342
3,5
3,1924
3,4
1,3073
491,916
82,82
4,4
3,1889
1,2135
3,11
3,1
20,20
5,5
1,1
20,1
1124,1322
5,5
1,4090
1,94
1,31
8,1934
1,4087
4081,4089
1,4088
1,1230
1,2583
1,1890
27,31
3,20
3,916
3,12
646,589
1,3
3,18
4083,4080
6,4093
3,3
1,4087
82,94
27,5
8,8
4003,4005
5,5
3,4087
3,21
3,550
4084,4
3,550
3,5
4084,4
3,5
3,5
1,4090
18,18
6,6
21,21
5,6
1,1
26,26
21,550
3,20
5,2
20,20
3,2135
1,2
21,1058
17,17
1,27
8,8
17,17
2,2
4003,4005
85,82
1,4089
4,4
6,6
17,23
4,4
3,550
17,23
1,3014
1,724
1,1
1,4090
3,3
26,26
1,3
11,11
4,4
17,27
20,20
20,5
1,1122
5,11
1,3
82,82
17,17
1,724
3,4005
6,6
20,20
5,5
82,82
18,18
17,17
3,4080
3,17
3,4
1,3
3,1963
21,21
1167,2135
4,4
3,4090
1,765
3,1363
1,6
1,4087
17,17
7,7
18,1531
3,12
1,350
4090,2
6,6
21,21
43,58
3,20
1,4087
3,5
1,1
1,4
17,17
3,21
1,4
17,17
3,11
1,916
2,5
1,4005
1,17
3,1
4084,4089
5,15
46,58
1,3
46,58
3,17
17,17
3,17
3,17
4084,4089
4084,4088
1,589
1,4090
8,9
3,18
11,2131
1,1322
3,1
3,20
1,1963
3,18
3,23
4083,4080
4,4
1,4045
17,17
17,20
21,21
1,4027
1,4093
1,589
1,3
3,85
3,8
3,2
6,6
2,2
29,29
1,4080
6,6
20,20
1,1
3,20
3,4087
4080,4089
4036,4053
1176,724
1,4083
3,1005
3,875
8,875
4,4
4083,4080
6,6
20,20
14,14
1,4081
1,26
3,20
1,4
4084,4083
1,1
11,11
2,2
3,4090
3,2
3,4089
3,1924
4084,4088
2,4
3,21
5,916
3,6
3,11
1,2
1,4
1,1058
1,1
4,4
5,2397
1176,724
1,4083
5,2840
26,26
4078,4033
1,20
8,8
3,1
3,9
5,2135
1,2594
2,1
3,17
5,18
17,17
3,904
3,20
2960,3398
3,10
6,2685
17,1531
4083,4089
1,724
3,4018
3,5
3,1924
3,1
3,5
1,4005
3,5
1,4005
1176,724
1,1
1,1
886,916
82,82
3,15
6,6
1,1005
1,19
3,49
3,16
3,17
5,1322
4,4
17,17
3,18
3,1
2,1
2,1
3,5
23,23
17,17
1,589
3,20
3,20
1,1668
43,2
41,43
43,27
5,33
3,724
3,3
46,46
4084,4088
1176,2
23,23
5,875
2138,1005
3,1005
1,1666
20,20
3,14
3,20
18,18
20,20
3,2135
20,20
4,4
646,589
17,17
1,1
17,17
2,904
2,904
1,1005
1,4
3,1531
1,4004
3,1058
1,1
1,43
18,18
1,1576
5,7
1,1576
1,4093
3,4
3,1
3,8
1,2
3,2
8,875
1,4085
3,1924
3,5
3,20
1,4045
3,21
3,15
1,4080
1,2
17,17
3,1531
